Value,MODLAND,VI Usefulness,Aerosol Quantity,Adjacent cloud detected,Atmosphere BRDF Correction,Mixed Clouds,Land/Water Mask,Possible snow/ice,Possible shadow
2069,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),No,No
2070,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),No,No
2111,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Land (Nothing else but land),No,No
2112,VI produced with good quality,Highest quality,Low,No,No,No,Land (Nothing else but land),No,No
2116,VI produced with good quality,Lower quality,Low,No,No,No,Land (Nothing else but land),No,No
2120,VI produced with good quality,Decreasing quality,Low,No,No,No,Land (Nothing else but land),No,No
2122,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,No,Land (Nothing else but land),No,No
2124,VI produced with good quality,Decreasing quality,Low,No,No,No,Land (Nothing else but land),No,No
2175,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Land (Nothing else but land),No,No
2181,"VI produced, but check other QA",Lower quality,Average,No,No,No,Land (Nothing else but land),No,No
2182,"Pixel produced, but most probably cloudy",Lower quality,Average,No,No,No,Land (Nothing else but land),No,No
2185,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Land (Nothing else but land),No,No
2186,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,No,Land (Nothing else but land),No,No
2189,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Land (Nothing else but land),No,No
2190,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,No,Land (Nothing else but land),No,No
2193,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Land (Nothing else but land),No,No
2239,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Land (Nothing else but land),No,No
2253,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Land (Nothing else but land),No,No
2254,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,No,Land (Nothing else but land),No,No
2257,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Land (Nothing else but land),No,No
2258,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,No,Land (Nothing else but land),No,No
2261,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Land (Nothing else but land),No,No
2262,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,No,Land (Nothing else but land),No,No
2265,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Land (Nothing else but land),No,No
2266,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,No,Land (Nothing else but land),No,No
2303,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,No,Land (Nothing else but land),No,No
2317,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),No,No
2318,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),No,No
2321,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),No,No
2322,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),No,No
2325,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),No,No
2326,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),No,No
2329,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),No,No
2330,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),No,No
2372,VI produced with good quality,Lower quality,Low,Yes,No,No,Land (Nothing else but land),No,No
2376,VI produced with good quality,Decreasing quality,Low,Yes,No,No,Land (Nothing else but land),No,No
2378,"Pixel produced, but most probably cloudy",Decreasing quality,Low,Yes,No,No,Land (Nothing else but land),No,No
2380,VI produced with good quality,Decreasing quality,Low,Yes,No,No,Land (Nothing else but land),No,No
2384,VI produced with good quality,Decreasing quality,Low,Yes,No,No,Land (Nothing else but land),No,No
2441,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,Land (Nothing else but land),No,No
2442,"Pixel produced, but most probably cloudy",Decreasing quality,Average,Yes,No,No,Land (Nothing else but land),No,No
2445,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,Land (Nothing else but land),No,No
2446,"Pixel produced, but most probably cloudy",Decreasing quality,Average,Yes,No,No,Land (Nothing else but land),No,No
2449,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,Land (Nothing else but land),No,No
2450,"Pixel produced, but most probably cloudy",Decreasing quality,Average,Yes,No,No,Land (Nothing else but land),No,No
2453,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,Land (Nothing else but land),No,No
2454,"Pixel produced, but most probably cloudy",Decreasing quality,Average,Yes,No,No,Land (Nothing else but land),No,No
2513,"VI produced, but check other QA",Decreasing quality,High,Yes,No,No,Land (Nothing else but land),No,No
2514,"Pixel produced, but most probably cloudy",Decreasing quality,High,Yes,No,No,Land (Nothing else but land),No,No
2517,"VI produced, but check other QA",Decreasing quality,High,Yes,No,No,Land (Nothing else but land),No,No
2518,"Pixel produced, but most probably cloudy",Decreasing quality,High,Yes,No,No,Land (Nothing else but land),No,No
2521,"VI produced, but check other QA",Decreasing quality,High,Yes,No,No,Land (Nothing else but land),No,No
2522,"Pixel produced, but most probably cloudy",Decreasing quality,High,Yes,No,No,Land (Nothing else but land),No,No
2525,"VI produced, but check other QA",Decreasing quality,High,Yes,No,No,Land (Nothing else but land),No,No
2526,"Pixel produced, but most probably cloudy",Decreasing quality,High,Yes,No,No,Land (Nothing else but land),No,No
3094,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Land (Nothing else but land),No,No
3098,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Land (Nothing else but land),No,No
3102,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Land (Nothing else but land),No,No
3106,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Land (Nothing else but land),No,No
3135,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Land (Nothing else but land),No,No
3150,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,Land (Nothing else but land),No,No
3154,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,Land (Nothing else but land),No,No
3158,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,Land (Nothing else but land),No,No
3162,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,Land (Nothing else but land),No,No
3218,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Land (Nothing else but land),No,No
3222,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Land (Nothing else but land),No,No
3226,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Land (Nothing else but land),No,No
3230,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Land (Nothing else but land),No,No
3290,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,Yes,Land (Nothing else but land),No,No
3294,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,Yes,Land (Nothing else but land),No,No
3298,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,Yes,Land (Nothing else but land),No,No
3302,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,Yes,Land (Nothing else but land),No,No
3354,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Land (Nothing else but land),No,No
3358,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Land (Nothing else but land),No,No
3362,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Land (Nothing else but land),No,No
3366,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Land (Nothing else but land),No,No
3410,"Pixel produced, but most probably cloudy",Decreasing quality,Low,Yes,No,Yes,Land (Nothing else but land),No,No
3414,"Pixel produced, but most probably cloudy",Decreasing quality,Low,Yes,No,Yes,Land (Nothing else but land),No,No
3418,"Pixel produced, but most probably cloudy",Decreasing quality,Low,Yes,No,Yes,Land (Nothing else but land),No,No
3422,"Pixel produced, but most probably cloudy",Decreasing quality,Low,Yes,No,Yes,Land (Nothing else but land),No,No
3478,"Pixel produced, but most probably cloudy",Decreasing quality,Average,Yes,No,Yes,Land (Nothing else but land),No,No
3482,"Pixel produced, but most probably cloudy",Decreasing quality,Average,Yes,No,Yes,Land (Nothing else but land),No,No
3486,"Pixel produced, but most probably cloudy",Decreasing quality,Average,Yes,No,Yes,Land (Nothing else but land),No,No
3490,"Pixel produced, but most probably cloudy",Decreasing quality,Average,Yes,No,Yes,Land (Nothing else but land),No,No
3550,"Pixel produced, but most probably cloudy",Decreasing quality,High,Yes,No,Yes,Land (Nothing else but land),No,No
3554,"Pixel produced, but most probably cloudy",Decreasing quality,High,Yes,No,Yes,Land (Nothing else but land),No,No
3558,"Pixel produced, but most probably cloudy",Decreasing quality,High,Yes,No,Yes,Land (Nothing else but land),No,No
3562,"Pixel produced, but most probably cloudy",Decreasing quality,High,Yes,No,Yes,Land (Nothing else but land),No,No
4105,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4106,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4107,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4109,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4110,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4111,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4113,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4114,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4115,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4117,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4118,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4159,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4160,VI produced with good quality,Highest quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4162,"Pixel produced, but most probably cloudy",Highest quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4163,Pixel not produced due to other reasons than clouds,Highest quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4164,VI produced with good quality,Lower quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4166,"Pixel produced, but most probably cloudy",Lower quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4167,Pixel not produced due to other reasons than clouds,Lower quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4168,VI produced with good quality,Decreasing quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4170,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4171,Pixel not produced due to other reasons than clouds,Decreasing quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4172,VI produced with good quality,Decreasing quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4174,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4223,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4229,"VI produced, but check other QA",Lower quality,Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4230,"Pixel produced, but most probably cloudy",Lower quality,Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4231,Pixel not produced due to other reasons than clouds,Lower quality,Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4233,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4234,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4235,Pixel not produced due to other reasons than clouds,Decreasing quality,Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4237,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4238,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4239,Pixel not produced due to other reasons than clouds,Decreasing quality,Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4241,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4242,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4287,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4301,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Ocean coastlines and lake shorelines,No,No
4302,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,No,Ocean coastlines and lake shorelines,No,No
4305,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Ocean coastlines and lake shorelines,No,No
4306,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,No,Ocean coastlines and lake shorelines,No,No
4307,Pixel not produced due to other reasons than clouds,Decreasing quality,High,No,No,No,Ocean coastlines and lake shorelines,No,No
4309,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Ocean coastlines and lake shorelines,No,No
4310,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,No,Ocean coastlines and lake shorelines,No,No
4311,Pixel not produced due to other reasons than clouds,Decreasing quality,High,No,No,No,Ocean coastlines and lake shorelines,No,No
4313,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Ocean coastlines and lake shorelines,No,No
4314,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,No,Ocean coastlines and lake shorelines,No,No
4351,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,No,Ocean coastlines and lake shorelines,No,No
4365,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4366,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4367,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4369,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4370,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4371,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4373,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4374,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4375,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4377,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4378,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4415,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
5142,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5143,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5146,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5147,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5150,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5151,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5154,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5183,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5198,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5199,Pixel not produced due to other reasons than clouds,Decreasing quality,Low,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5202,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5203,Pixel not produced due to other reasons than clouds,Decreasing quality,Low,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5206,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5207,Pixel not produced due to other reasons than clouds,Decreasing quality,Low,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5210,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5247,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5266,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5267,Pixel not produced due to other reasons than clouds,Decreasing quality,Average,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5270,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5271,Pixel not produced due to other reasons than clouds,Decreasing quality,Average,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5274,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5275,Pixel not produced due to other reasons than clouds,Decreasing quality,Average,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5278,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5311,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5338,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5342,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5346,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5350,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5375,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5402,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
5403,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
5406,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
5410,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
5414,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
5439,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
6153,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6154,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6155,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6157,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6158,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6159,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6161,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6162,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6163,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6165,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6166,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6207,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Shallow inland water,No,No
6208,VI produced with good quality,Highest quality,Low,No,No,No,Shallow inland water,No,No
