"","site","tile","latitude","longitude","altitude","year","yday","measurement","value"
"1","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,1,"prcp..mm.day.",0
"2","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,2,"prcp..mm.day.",0
"3","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,3,"prcp..mm.day.",0
"4","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,4,"prcp..mm.day.",0
"5","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,5,"prcp..mm.day.",0
"6","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,6,"prcp..mm.day.",0
"7","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,7,"prcp..mm.day.",0
"8","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,8,"prcp..mm.day.",0
"9","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,9,"prcp..mm.day.",0
"10","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,10,"prcp..mm.day.",0
"11","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,11,"prcp..mm.day.",0
"12","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,12,"prcp..mm.day.",0
"13","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,13,"prcp..mm.day.",0
"14","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,14,"prcp..mm.day.",0
"15","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,15,"prcp..mm.day.",0
"16","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,16,"prcp..mm.day.",0
"17","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,17,"prcp..mm.day.",0
"18","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,18,"prcp..mm.day.",0
"19","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,19,"prcp..mm.day.",0
"20","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,20,"prcp..mm.day.",0
"21","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,21,"prcp..mm.day.",0
"22","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,22,"prcp..mm.day.",0
"23","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,23,"prcp..mm.day.",0
"24","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,24,"prcp..mm.day.",0
"25","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,25,"prcp..mm.day.",0
"26","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,26,"prcp..mm.day.",0
"27","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,27,"prcp..mm.day.",0
"28","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,28,"prcp..mm.day.",0
"29","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,29,"prcp..mm.day.",0
"30","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,30,"prcp..mm.day.",0
"31","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,31,"prcp..mm.day.",0
"32","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,32,"prcp..mm.day.",0
"33","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,33,"prcp..mm.day.",0
"34","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,34,"prcp..mm.day.",0
"35","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,35,"prcp..mm.day.",0
"36","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,36,"prcp..mm.day.",0
"37","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,37,"prcp..mm.day.",0
"38","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,38,"prcp..mm.day.",0
"39","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,39,"prcp..mm.day.",0
"40","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,40,"prcp..mm.day.",0
"41","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,41,"prcp..mm.day.",0
"42","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,42,"prcp..mm.day.",0
"43","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,43,"prcp..mm.day.",0
"44","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,44,"prcp..mm.day.",0
"45","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,45,"prcp..mm.day.",0
"46","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,46,"prcp..mm.day.",0
"47","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,47,"prcp..mm.day.",0
"48","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,48,"prcp..mm.day.",0
"49","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,49,"prcp..mm.day.",0
"50","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,50,"prcp..mm.day.",0
"51","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,51,"prcp..mm.day.",0
"52","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,52,"prcp..mm.day.",0
"53","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,53,"prcp..mm.day.",0
"54","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,54,"prcp..mm.day.",0
"55","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,55,"prcp..mm.day.",0
"56","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,56,"prcp..mm.day.",0
"57","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,57,"prcp..mm.day.",0
"58","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,58,"prcp..mm.day.",0
"59","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,59,"prcp..mm.day.",0
"60","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,60,"prcp..mm.day.",0
"61","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,61,"prcp..mm.day.",6
"62","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,62,"prcp..mm.day.",0
"63","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,63,"prcp..mm.day.",0
"64","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,64,"prcp..mm.day.",0
"65","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,65,"prcp..mm.day.",0
"66","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,66,"prcp..mm.day.",0
"67","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,67,"prcp..mm.day.",0
"68","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,68,"prcp..mm.day.",0
"69","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,69,"prcp..mm.day.",0
"70","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,70,"prcp..mm.day.",0
"71","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,71,"prcp..mm.day.",0
"72","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,72,"prcp..mm.day.",0
"73","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,73,"prcp..mm.day.",0
"74","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,74,"prcp..mm.day.",0
"75","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,75,"prcp..mm.day.",0
"76","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,76,"prcp..mm.day.",0
"77","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,77,"prcp..mm.day.",0
"78","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,78,"prcp..mm.day.",0
"79","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,79,"prcp..mm.day.",0
"80","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,80,"prcp..mm.day.",0
"81","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,81,"prcp..mm.day.",0
"82","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,82,"prcp..mm.day.",0
"83","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,83,"prcp..mm.day.",0
"84","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,84,"prcp..mm.day.",0
"85","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,85,"prcp..mm.day.",1
"86","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,86,"prcp..mm.day.",0
"87","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,87,"prcp..mm.day.",0
"88","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,88,"prcp..mm.day.",0
"89","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,89,"prcp..mm.day.",0
"90","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,90,"prcp..mm.day.",0
"91","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,91,"prcp..mm.day.",0
"92","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,92,"prcp..mm.day.",0
"93","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,93,"prcp..mm.day.",0
"94","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,94,"prcp..mm.day.",0
"95","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,95,"prcp..mm.day.",0
"96","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,96,"prcp..mm.day.",0
"97","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,97,"prcp..mm.day.",0
"98","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,98,"prcp..mm.day.",0
"99","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,99,"prcp..mm.day.",0
"100","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,100,"prcp..mm.day.",0
"101","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,101,"prcp..mm.day.",0
"102","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,102,"prcp..mm.day.",0
"103","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,103,"prcp..mm.day.",0
"104","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,104,"prcp..mm.day.",0
"105","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,105,"prcp..mm.day.",0
"106","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,106,"prcp..mm.day.",0
"107","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,107,"prcp..mm.day.",0
"108","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,108,"prcp..mm.day.",0
"109","Jornada",11017,32.5933704567756,-106.8417162439,1318,2014,109,"prcp..mm.day.",0
